Iteration,Learning Rate,Total Error,Number Correct,Percent Correct
1,0.4,2613.843754,2,3.85%
2,0.384615385,2613.836128,2,3.85%
3,0.384615385,2613.827609,2,3.85%
4,0.384615385,2613.817786,2,3.85%
5,0.384615385,2613.806279,2,3.85%
6,0.384615385,2613.792517,2,3.85%
7,0.384615385,2613.775599,2,3.85%
8,0.384615385,2613.753977,2,3.85%
9,0.384615385,2613.724663,2,3.85%
10,0.384615385,2613.680743,2,3.85%
11,0.384615385,2613.600083,2,3.85%
12,0.384615385,2613.313806,2,3.85%
13,0.384615385,2579.398395,2,3.85%
14,0.384615385,2570.886869,1,1.92%
15,0.392307692,2569.791109,2,3.85%
16,0.384615385,2557.573093,2,3.85%
17,0.384615385,2490.677143,1,1.92%
18,0.392307692,2451.919661,2,3.85%
19,0.384615385,2382.512162,1,1.92%
20,0.392307692,2053.512602,1,1.92%
21,0.392307692,678.5572188,2,3.85%
22,0.384615385,108.6518848,0,0.00%
23,0.4,95.40421741,0,0.00%
24,0.4,90.70468513,0,0.00%
25,0.4,88.66294604,0,0.00%
26,0.4,87.74470837,0,0.00%
27,0.4,87.16346102,0,0.00%
28,0.4,86.68105199,0,0.00%
29,0.4,86.12876466,0,0.00%
30,0.4,85.35571023,0,0.00%
31,0.4,84.73646197,0,0.00%
32,0.4,84.51216376,0,0.00%
33,0.4,84.37398499,0,0.00%
34,0.4,84.25628286,0,0.00%
35,0.4,84.1375688,0,0.00%
36,0.4,83.99569521,0,0.00%
37,0.4,83.78880627,0,0.00%
38,0.4,83.42660282,0,0.00%
39,0.4,82.84651948,0,0.00%
40,0.4,82.25550577,0,0.00%
41,0.4,81.75730458,0,0.00%
42,0.4,81.30340004,0,0.00%
43,0.4,80.98212732,0,0.00%
44,0.4,80.67332533,0,0.00%
45,0.4,80.33976729,0,0.00%
46,0.4,80.22456426,0,0.00%
47,0.4,80.18421931,0,0.00%
48,0.4,80.15917112,0,0.00%
49,0.4,80.14028194,0,0.00%
50,0.4,80.12472803,0,0.00%
51,0.4,80.11125986,0,0.00%
52,0.4,80.09919093,0,0.00%
53,0.4,80.08808035,0,0.00%
54,0.4,80.07760586,0,0.00%
55,0.4,80.06750205,0,0.00%
56,0.4,80.05752368,0,0.00%
57,0.4,80.04741767,0,0.00%
58,0.4,80.03689484,0,0.00%
59,0.4,80.02559386,0,0.00%
60,0.4,80.01302683,0,0.00%
