Iteration,Learning Rate,Total Error,Number Correct
1,0.4,2632.648125,2
2,0.384615385,2632.237606,
3,0.384615385,2590.234091,2
4,0.384615385,2581.793246,2
5,0.384615385,2581.739152,2
6,0.384615385,2581.692403,2
7,0.384615385,2581.632758,2
8,0.384615385,2581.535877,2
9,0.384615385,2581.306768,2
10,0.384615385,2566.222099,2
11,0.384615385,2487.864193,1
12,0.392307692,2486.771004,1
13,0.392307692,2485.824546,1
14,0.392307692,2484.823431,1
15,0.392307692,2483.45882,1
16,0.392307692,2445.055137,1
17,0.392307692,2314.205267,1
18,0.392307692,1015.683452,1
19,0.392307692,91.31834458,1
20,0.392307692,79.39850907,0
21,0.4,75.96430117,0
22,0.4,73.91585719,0
23,0.4,72.33452641,0
24,0.4,71.19516755,0
25,0.4,70.16413293,0
26,0.4,69.18539198,0
27,0.4,68.55766449,0
28,0.4,68.24024724,0
29,0.4,68.06847002,0
30,0.4,67.92997782,0
31,0.4,67.79111509,0
32,0.4,67.61460172,0
33,0.4,67.3364717,0
34,0.4,66.97947722,0
35,0.4,66.80249768,0
36,0.4,66.72848816,0
37,0.4,66.67264368,0
38,0.4,66.62031552,0
39,0.4,66.56446807,0
40,0.4,66.49672275,0
41,0.4,66.40115283,0
42,0.4,66.24147046,0
43,0.4,65.95005671,0
44,0.4,65.58039566,1
45,0.392307692,65.34514975,1
46,0.392307692,65.07538437,1
47,0.392307692,64.75074078,1
48,0.392307692,64.60711407,1
49,0.392307692,64.54921807,1
50,0.392307692,64.49976134,1
51,0.392307692,64.43796,1
52,0.392307692,64.33884415,1
53,0.392307692,64.15198025,1
54,0.392307692,63.84607611,1
55,0.392307692,63.64228293,1
56,0.392307692,63.59003077,1
57,0.392307692,63.56756488,1
58,0.392307692,63.55330128,1
59,0.392307692,63.54253855,1
60,0.392307692,63.53366508,1
61,0.392307692,63.52596845,1
62,0.392307692,63.51907754,1
63,0.392307692,63.5127749,1
64,0.392307692,63.50692119,1
65,0.392307692,63.50142042,1
66,0.392307692,63.49620239,1
67,0.392307692,63.49121296,1
68,0.392307692,63.48640842,1
69,0.392307692,63.48175186,1
70,0.392307692,63.47721088,1
71,0.392307692,63.47275582,1
72,0.392307692,63.46835848,1
73,0.392307692,63.46399103,1
74,0.392307692,63.45962497,1
75,0.392307692,63.45523004,1
76,0.392307692,63.45077303,1
77,0.392307692,63.44621633,1
78,0.392307692,63.441516,1
79,0.392307692,63.43661924,1
80,0.392307692,63.43146085,1
81,0.392307692,63.42595798,1
82,0.392307692,63.42000255,1
83,0.392307692,63.41344923,1
84,0.392307692,63.40609647,1
85,0.392307692,63.39765478,1
86,0.392307692,63.3876914,1
87,0.392307692,63.37552854,1
88,0.392307692,63.36004418,1
89,0.392307692,63.33925259,1
90,0.392307692,63.30934423,1
91,0.392307692,63.26228647,1
92,0.392307692,63.17946806,1
93,0.392307692,63.01750416,1
94,0.392307692,62.72638733,1
95,0.392307692,62.47695134,1
96,0.392307692,62.39846533,1
97,0.392307692,62.35157164,1
98,0.392307692,62.29595784,1
99,0.392307692,62.20470257,1
100,0.392307692,62.02814427,1
101,0.392307692,61.72957685,1
102,0.392307692,61.52038421,1
103,0.392307692,61.4686772,1
104,0.392307692,61.44843863,1
105,0.392307692,61.43620468,1
106,0.392307692,61.42697606,1
107,0.392307692,61.419025,1
108,0.392307692,61.41153937,1
109,0.392307692,61.40402278,1
110,0.392307692,61.39608074,1
111,0.392307692,61.38731237,1
112,0.392307692,61.37722277,1
113,0.392307692,61.36511013,1
114,0.392307692,61.34987189,1
115,0.392307692,61.32961571,1
116,0.392307692,61.30078932,1
117,0.392307692,61.2560379,1
118,0.392307692,61.17855254,1
119,0.392307692,61.02872415,1
120,0.392307692,60.74998088,1
121,0.392307692,60.47522932,1
122,0.392307692,60.37934157,1
123,0.392307692,60.32162088,1
124,0.392307692,60.24751953,1
