Iteration,Learning Rate,Total Error,Number Correct,Percent Correct
1,0.04,100.32210629989888,11,14.102564102564102%
2,0.04,88.93430100275769,12,15.384615384615385%
3,0.04,84.59577181106121,11,14.102564102564102%
4,0.04,83.56879141310301,11,14.102564102564102%
5,0.04,82.75918467080746,11,14.102564102564102%
6,0.04,82.26649981131744,10,12.82051282051282%
7,0.04,81.95400893227158,11,14.102564102564102%
8,0.04,81.72259164765602,11,14.102564102564102%
9,0.04,81.52680897089242,11,14.102564102564102%
10,0.04,81.32813958682193,11,14.102564102564102%
11,0.04,81.0761728437094611,14.102564102564102%
12,0.04,80.7758372317316,11,14.102564102564102%
13,0.04,80.52950073390882,11,14.102564102564102%
14,0.04,80.33479661632381,11,14.102564102564102%
15,0.04,80.14974809968744,11,14.102564102564102%
16,0.04,79.95212594791144,11,14.102564102564102%
17,0.04,79.71792425749247,11,14.102564102564102%
18,0.04,79.3964445983826,12,15.384615384615385%
19,0.04,78.9156365794733,11,14.102564102564102%
20,0.04,78.5303752152281,11,14.102564102564102%
21,0.04,78.22856102557627,11,14.102564102564102%
22,0.04,78.06949745854561,11,14.102564102564102%
23,0.04,77.94916538311746,11,14.102564102564102%
24,0.04,77.84968305800024,11,14.102564102564102%
25,0.04,77.76356467245284,12,15.384615384615385%
26,0.04,77.68670737968417,12,15.384615384615385%
27,0.04,77.6165857521757,12,15.384615384615385%
28,0.04,77.55154672530344,12,15.384615384615385%
29,0.04,77.49046421061833,12,15.384615384615385%
30,0.04,77.43254990630379,12,15.384615384615385%
31,0.04,77.37724257812629,12,15.384615384615385%
32,0.04,77.32413949835039,12,15.384615384615385%
33,0.04,77.27295133061533,12,15.384615384615385%
34,0.04,77.22347045938258,12,15.384615384615385%
35,0.04,77.17554745857524,13,16.666666666666664%
36,0.04,77.12907299560253,13,16.666666666666664%
37,0.04,77.08396384144729,13,16.666666666666664%
38,0.04,77.04015228499154,13,16.666666666666664%
39,0.04,76.99757845914344,13,16.666666666666664%
40,0.04,76.95618511163786,13,16.666666666666664%
41,0.04,76.91591433770043,13,16.666666666666664%
42,0.04,76.87670579916208,13,16.666666666666664%
43,0.04,76.83849599760512,13,16.666666666666664%
44,0.04,76.80121823715062,13,16.666666666666664%
45,0.04,76.76480299039272,13,16.666666666666664%
46,0.04,76.72917845684258,13,16.666666666666664%
47,0.04,76.6942711702981,14,17.94871794871795%
48,0.04,76.6600065669077,14,17.94871794871795%
49,0.04,76.62630946915871,14,17.94871794871795%
50,0.04,76.59310447374082,14,17.94871794871795%
51,0.04,76.56031625494165,14,17.94871794871795%
52,0.04,76.52786981184403,14,17.94871794871795%
53,0.04,76.49569069890515,14,17.94871794871795%
54,0.04,76.46370528699372,14,17.94871794871795%
55,0.04,76.43184110666446,14,17.94871794871795%
56,0.04,76.40002732768606,14,17.94871794871795%
57,0.04,76.36819542807129,14,17.94871794871795%
58,0.04,76.33628010055187,13,16.666666666666664%
59,0.04,76.3042204320099,13,16.666666666666664%
60,0.04,76.271961368544,13,16.666666666666664%
61,0.04,76.23945544229711,13,16.666666666666664%
62,0.04,76.20666468408763,13,16.666666666666664%
63,0.04,76.17356257997395,12,15.384615384615385%
64,0.04,76.14013585774981,12,15.384615384615385%
65,0.04,76.10638582594875,12,15.384615384615385%
66,0.04,76.07232895448705,12,15.384615384615385%
67,0.04,76.03799640512322,12,15.384615384615385%
68,0.04,76.00343230649372,12,15.384615384615385%
69,0.04,75.96869072036493,12,15.384615384615385%
70,0.04,75.93383143796542,12,15.384615384615385%
71,0.04,75.89891493404396,12,15.384615384615385%
72,0.04,75.86399694275782,12,15.384615384615385%
73,0.04,75.82912316805952,12,15.384615384615385%
74,0.04,75.7943245929952,12,15.384615384615385%
75,0.04,75.75961372706419,12,15.384615384615385%
76,0.04,75.72498196712192,12,15.384615384615385%
77,0.04,75.69039808720377,11,14.102564102564102%
78,0.04,75.65580774831389,11,14.102564102564102%
79,0.04,75.62113384660958,11,14.102564102564102%
80,0.04,75.58627749802365,11,14.102564102564102%
81,0.04,75.55111947892979,11,14.102564102564102%
82,0.04,75.51552199145029,11,14.102564102564102%
83,0.04,75.47933068526346,11,14.102564102564102%
84,0.04,75.44237693940855,11,14.102564102564102%
85,0.04,75.4044804943333,11,14.102564102564102%
86,0.04,75.36545265043264,11,14.102564102564102%
87,0.04,75.3251004519463,11,14.102564102564102%
88,0.04,75.2832325790188,11,14.102564102564102%
89,0.04,75.2396680251612,11,14.102564102564102%
90,0.04,75.19424883582938,11,14.102564102564102%
91,0.04,75.1468578586338,11,14.102564102564102%
92,0.04,75.09744128863206,11,14.102564102564102%
93,0.04,75.04603392547934,11,14.102564102564102%
94,0.04,74.99278329007353,11,14.102564102564102%
95,0.04,74.93796795923637,10,12.82051282051282%
96,0.04,74.88200560683482,10,12.82051282051282%
97,0.04,74.82544627242893,10,12.82051282051282%
98,0.04,74.7689461489684,10,12.82051282051282%
99,0.04,74.71321897413158,11,14.102564102564102%
100,0.04,74.65896884852353,11,14.102564102564102%
101,0.04,74.60681893173327,11,14.102564102564102%
102,0.04,74.55725838230599,11,14.102564102564102%
103,0.04,74.51062856285219,11,14.102564102564102%
104,0.04,74.46715963855755,11,14.102564102564102%
105,0.04,74.4270562105657,11,14.102564102564102%
106,0.04,74.39060969833739,11,14.102564102564102%
107,0.04,74.3582263803647,10,12.82051282051282%
108,0.04,74.32991637817672,10,12.82051282051282%
109,0.04,74.30322656246298,10,12.82051282051282%
110,0.04,74.27100939605374,10,12.82051282051282%
111,0.04,74.22839198432868,11,14.102564102564102%
112,0.04,74.18230445364358,11,14.102564102564102%
113,0.04,74.1406405119272,11,14.102564102564102%
114,0.04,74.1033198779324,11,14.102564102564102%
115,0.04,74.06732945412513,11,14.102564102564102%
116,0.04,74.03122031450397,11,14.102564102564102%
117,0.04,73.99483203924333,10,12.82051282051282%
118,0.04,73.95824546046438,10,12.82051282051282%
119,0.04,73.9214943824286,10,12.82051282051282%
120,0.04,73.88458147203262,10,12.82051282051282%
121,0.04,73.84751015545287,10,12.82051282051282%
122,0.04,73.81029902754125,10,12.82051282051282%
123,0.04,73.77298698768747,10,12.82051282051282%
124,0.04,73.73563354554733,10,12.82051282051282%
125,0.04,73.69831619563011,10,12.82051282051282%
126,0.04,73.66112604332143,10,12.82051282051282%
127,0.04,73.6241625718185,10,12.82051282051282%
128,0.04,73.5875282514109,10,12.82051282051282%
129,0.04,73.55132353207688,10,12.82051282051282%
130,0.04,73.51564260113972,10,12.82051282051282%
131,0.04,73.48057012894678,11,14.102564102564102%
132,0.04,73.44617907892626,11,14.102564102564102%
133,0.04,73.41252953752291,11,14.102564102564102%
134,0.04,73.3796684335486,11,14.102564102564102%
135,0.04,73.34762996756601,11,14.102564102564102%
136,0.04,73.31643655604154,11,14.102564102564102%
137,0.04,73.28610010439978,11,14.102564102564102%
138,0.04,73.25662344862225,11,14.102564102564102%
139,0.04,73.22800183828777,11,14.102564102564102%
140,0.04,73.20022436848596,11,14.102564102564102%
141,0.04,73.17327529950128,12,15.384615384615385%
142,0.04,73.14713522932304,12,15.384615384615385%
143,0.04,73.12178210415848,12,15.384615384615385%
144,0.04,73.09719206648701,12,15.384615384615385%
145,0.04,73.07334014965222,12,15.384615384615385%
146,0.04,73.05020083353352,12,15.384615384615385%
147,0.04,73.02774847853297,12,15.384615384615385%
148,0.04,73.00595765580528,12,15.384615384615385%
149,0.04,72.98480339102456,12,15.384615384615385%
150,0.04,72.96426133762377,12,15.384615384615385%
151,0.04,72.9443078936412,12,15.384615384615385%
152,0.04,72.92492027439765,12,15.384615384615385%
153,0.04,72.90607655132143,12,15.384615384615385%
154,0.04,72.88775566544876,12,15.384615384615385%
155,0.04,72.86993742254353,12,15.384615384615385%
156,0.04,72.8526024753398,12,15.384615384615385%
157,0.04,72.83573229723396,12,15.384615384615385%
158,0.04,72.81930915071644,12,15.384615384615385%
159,0.04,72.8033160530186,12,15.384615384615385%
160,0.04,72.78773674076201,12,15.384615384615385%
161,0.04,72.77255563486544,12,15.384615384615385%
162,0.04,72.7577578065524,12,15.384615384615385%
163,0.04,72.74332894497468,12,15.384615384615385%
164,0.04,72.72925532674418,12,15.384615384615385%
165,0.04,72.715523787469,12,15.384615384615385%
166,0.04,72.70212169530294,12,15.384615384615385%
167,0.04,72.68903692641516,12,15.384615384615385%
168,0.04,72.67625784224111,12,15.384615384615385%
169,0.04,72.66377326836371,12,15.384615384615385%
170,0.04,72.65157247484628,12,15.384615384615385%
171,0.04,72.63964515785969,12,15.384615384615385%
172,0.04,72.62798142243827,12,15.384615384615385%
173,0.04,72.61657176622627,12,15.384615384615385%
174,0.04,72.60540706408871,12,15.384615384615385%
175,0.04,72.59447855347284,12,15.384615384615385%
176,0.04,72.58377782043394,12,15.384615384615385%
177,0.04,72.57329678624295,12,15.384615384615385%
178,0.04,72.56302769451572,12,15.384615384615385%
179,0.04,72.55296309881736,12,15.384615384615385%
180,0.04,72.543095850692,12,15.384615384615385%
181,0.04,72.5334190880975,12,15.384615384615385%
182,0.04,72.5239262242186,12,15.384615384615385%
183,0.04,72.51461093663531,12,15.384615384615385%
184,0.04,72.50546715684305,12,15.384615384615385%
185,0.04,72.4964890601052,12,15.384615384615385%
186,0.04,72.48767105563894,12,15.384615384615385%
187,0.04,72.47900777712212,12,15.384615384615385%
188,0.04,72.47049407352026,12,15.384615384615385%
189,0.04,72.46212500022905,12,15.384615384615385%
190,0.04,72.45389581052795,12,15.384615384615385%
191,0.04,72.44580194733929,12,15.384615384615385%
192,0.04,72.43783903529291,12,15.384615384615385%
193,0.04,72.43000287308826,12,15.384615384615385%
